off_code,product_name,brand,image_url,calories_100g,protein_100g,carbs_100g,fat_100g,completeness,quality_tier,serving_size,no_nutriments,additives_n,additives,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutrition_grade_fr,main_category,main_category_fr,image_small_url,labels,labels_tags,labels_fr,emb_codes,emb_codes_tags,first_packaging_code_geo,cities,cities_tags,purchase_places,stores,countries,countries_tags,categories,categories_tags
3118,Pears General,,https://images.openfoodfacts.org/images/products/000/000/000/3118/front_en.35.400.jpg,101.0,0.6,27.0,0.3,0.88,professional,26g,,4.0,,"en:e322,en:e322i,en:e412,en:e440,en:e460",,,,,,,,en:fresh-pears,,https://images.openfoodfacts.org/images/products/000/000/000/3118/front_en.35.200.jpg,Sans gluten,en:no-gluten,,,,,,,,Metro,"en:Canada,en:United States","en:canada,en:united-states","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Fruits, Compléments alimentaires, Fruits frais, Poires, Poires fraîches","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:dietary-supplements,en:fresh-fruits,en:pears,en:fresh-pears"
3283,Honeycrisp Apple,,https://images.openfoodfacts.org/images/products/000/000/000/3283/front_en.12.400.jpg,52.2,0.275,13.7,0.165,0.86,professional,182 g,,0.0,,,,,,,,,,en:fresh-apples,,https://images.openfoodfacts.org/images/products/000/000/000/3283/front_en.12.200.jpg,,,,,,,,,"Canada,United States",Metro,"Canada,United States","en:canada,en:united-states","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Apples, Fresh fruits, Fresh apples","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:apples,en:fresh-fruits,en:fresh-apples"
3507,Cosmic Crisp Apple,,https://images.openfoodfacts.org/images/products/000/000/000/3507/front_en.9.400.jpg,52.0,0.2,14.0,0.2,0.86,professional,225 g,,0.0,,,,,,,,,,en:fresh-apples,,https://images.openfoodfacts.org/images/products/000/000/000/3507/front_en.9.200.jpg,,,,,,,,,,Metro,"en:Canada,en:United States","en:canada,en:united-states","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Apples, Fresh fruits, Fresh apples","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:apples,en:fresh-fruits,en:fresh-apples"
4066,Green Beans,,https://images.openfoodfacts.org/images/products/000/000/000/4066/front_en.10.400.jpg,36.0,2.0,8.0,0.0,0.86,professional,125 g,,0.0,,,,,,,,,,en:fresh-green-beans,,https://images.openfoodfacts.org/images/products/000/000/000/4066/front_en.10.200.jpg,,,,,,,,,,Metro,"en:canada,en:United States","en:canada,en:united-states","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Fruits and vegetables based foods, Legumes, Vegetables based foods, Fresh foods, Fresh plant-based foods, Green beans, Fresh legumes, Fresh vegetables, Fresh green beans","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:legumes-and-their-products,en:legumes,en:vegetables-based-foods,en:vegetables,en:fresh-foods,en:fresh-plant-based-foods,en:green-beans,en:fresh-legumes,en:fresh-vegetables,en:fresh-green-beans"
4067,Zucchini,,https://images.openfoodfacts.org/images/products/000/000/000/4067/front_en.16.400.jpg,16.0,1.0,3.0,0.0,0.8,professional,,,0.0,,,,,,,,,,en:fresh-zucchini,,https://images.openfoodfacts.org/images/products/000/000/000/4067/front_en.16.200.jpg,,,,,,,,,,Metro,"Canada,United States","en:canada,en:united-states","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Fresh foods,Fresh plant-based foods,Fresh vegetables,Zucchini,Fresh zucchini","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:vegetables,en:fresh-foods,en:fresh-plant-based-foods,en:fresh-vegetables,en:zucchini,en:fresh-zucchini"
4082,Red Onion,,https://images.openfoodfacts.org/images/products/000/000/000/4082/front_en.10.400.jpg,42.0,1.0,10.0,0.0,0.86,professional,300 g,,0.0,,,,,,,,,,en:fresh-red-onions,,https://images.openfoodfacts.org/images/products/000/000/000/4082/front_en.10.200.jpg,,,,,,,,,,Metro,"Canada,United States","en:canada,en:united-states","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Condiments,Vegetables based foods,Culinary plants,Fresh foods,Fresh plant-based foods,Onions and their products,Fresh vegetables,Onions,Red onions,Fresh onions,Fresh red onions","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:condiments,en:vegetables-based-foods,en:culinary-plants,en:fresh-foods,en:fresh-plant-based-foods,en:onions-and-their-products,en:fresh-vegetables,en:onions,en:red-onions,en:fresh-onions,en:fresh-red-onions"
4135,Gala Apple,,https://images.openfoodfacts.org/images/products/000/000/000/4135/front_en.5.400.jpg,50.7,0.29,13.8,0.0,0.86,professional,225 g,,0.0,,,,,,,,,,en:gala-apples,,https://images.openfoodfacts.org/images/products/000/000/000/4135/front_en.5.200.jpg,,,,,,,,,,Metro,"en:Canada,en:united-states","en:canada,en:united-states","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Apples, Sweet apples, Gala apples","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:apples,en:sweet-apples,en:gala-apples"
4139,Epler Granny Smith,Bama dagligvare  as,https://images.openfoodfacts.org/images/products/000/000/000/4139/front_en.18.400.jpg,202.0,0.327,10.8,0.0,0.86,professional,1 apple  (153 g),,,,,,,,,,,,en:granny-smith-apples,,https://images.openfoodfacts.org/images/products/000/000/000/4139/front_en.18.200.jpg,No gluten,en:no-gluten,,,,,,,,Metro,"en:Canada,en:United States","en:canada,en:united-states","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Apples, Fresh fruits, Acidic apples, Fresh apples, Granny Smith apples","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:apples,en:fresh-fruits,en:acidic-apples,en:fresh-apples,en:granny-smith-apples"
4689,Yellow Bell Pepper,,https://images.openfoodfacts.org/images/products/000/000/000/4689/front_en.6.400.jpg,27.0,0.8,4.4,0.5,0.8,professional,,,0.0,,,,,,,,,,en:fresh-sweet-peppers,,https://images.openfoodfacts.org/images/products/000/000/000/4689/front_en.6.200.jpg,,,,,,,,,"Canada,United States",Metro,"Canada,United States,United Kingdom","en:canada,en:united-kingdom,en:united-states","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Fresh foods,Fresh plant-based foods,Fresh vegetables,Sweet peppers,Fresh sweet peppers","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:vegetables,en:fresh-plant-based-foods,en:fresh-vegetables,en:sweet-peppers,en:fresh-sweet-peppers"
4725,Oven Baking Potato,,https://images.openfoodfacts.org/images/products/000/000/000/4725/front_en.9.400.jpg,93.0,2.5,21.0,0.0,0.86,professional,300 g,,0.0,,,,,,,,,,en:fresh-potatoes,,https://images.openfoodfacts.org/images/products/000/000/000/4725/front_en.9.200.jpg,,,,,,,,,,Metro,"en:Canada,en:United States","en:canada,en:united-states","Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Potatoes, Fresh-potatoes","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:potatoes,en:fresh-potatoes"
