off_code,product_name,brand,image_url,calories_100g,protein_100g,carbs_100g,fat_100g,completeness,quality_tier,serving_size,no_nutriments,additives_n,additives,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutrition_grade_fr,main_category,main_category_fr,image_small_url,labels,labels_tags,labels_fr,emb_codes,emb_codes_tags,first_packaging_code_geo,cities,cities_tags,purchase_places,stores,countries,countries_tags,categories,categories_tags
1041,Alga Spirulina,Fitt Piggy,https://images.openfoodfacts.org/images/products/000/000/000/1041/front_en.3.400.jpg,361.0,19.0,31.0,19.0,0.9,tier1,1 gram,,0.0,,,,,,,,,,en:spirulina,,https://images.openfoodfacts.org/images/products/000/000/000/1041/front_en.3.200.jpg,,,,,,,,,,,United States,en:united-states,"Prodotti non alimentari,Spirulina","en:non-food-products,en:dietary-supplements,en:spirulina"
1171,Formula 1 healthy meal,Herbalife,https://images.openfoodfacts.org/images/products/000/000/000/1171/front_en.33.400.jpg,380.0,40.0,20.0,11.0,0.92,tier1,26g,,11.0,,"en:e1200,en:e150c,en:e304,en:e304i,en:e307c,en:e322,en:e322i,en:e407,en:e412,en:e415,en:e440,en:e551,en:e950",,,,,,,,en:milkshakes,,https://images.openfoodfacts.org/images/products/000/000/000/1171/front_en.33.200.jpg,Riche en protéines,"en:source-of-proteins,en:high-proteins",,,,,,,,,"France,États-Unis","en:france,en:united-states","Boissons,Produits laitiers,Conserves,Plats préparés,Boissons lactées,Laits aromatisés,Compléments alimentaires,Milkshakes","en:beverages-and-beverages-preparations,en:beverages,en:dairies,en:canned-foods,en:meals,en:dairy-drinks,en:flavoured-milks,en:dietary-supplements,en:milkshakes"
1218,Prime Protein,Equip,https://images.openfoodfacts.org/images/products/000/000/000/1218/front_en.6.400.jpg,397.0,79.4,11.9,3.97,0.82,tier1,25.2g,,0.0,,,,,,,,,,,,https://images.openfoodfacts.org/images/products/000/000/000/1218/front_en.6.200.jpg,,,,,,,,,,,en:united-states,en:united-states,,
123456784,Salam de vară,salutaris,https://images.openfoodfacts.org/images/products/000/012/345/6784/front_en.5.400.jpg,336.0,18.0,0.6,29.0,0.82,tier1,50.0g,,,,,,,,,,,,en:salami,,https://images.openfoodfacts.org/images/products/000/012/345/6784/front_en.5.200.jpg,,,,,,,,,,,us,en:united-states,"Meats and their products, Prepared meats, Cured sausages, Salami","en:meats-and-their-products,en:prepared-meats,en:cured-sausages,en:salami"
1239,Strawberry shake mix,Sports Research,https://images.openfoodfacts.org/images/products/000/000/000/1239/front_en.8.400.jpg,94.0,9.0,10.0,2.0,0.84,tier1,25.0g,,6.0,,"en:e322,en:e322i,en:e412,en:e414,en:e415,en:e950,en:e955",,,,,,,,,,https://images.openfoodfacts.org/images/products/000/000/000/1239/front_en.8.200.jpg,,,,,,,,,,"https://supplements-online.ecwid.com/Shopping-Supplements-online-c121606037,https://supplements-online.ecwid.com/Shopping-online-in-the-World-c116781330,https://astephanie.goherbalife.com/Catalog/Home/Index/es-US,https://integratori-online.ecwid.com",Stati Uniti d'America,en:united-states,,
1252,Cottage cheese,Daisy,https://images.openfoodfacts.org/images/products/000/000/000/1252/front_en.3.400.jpg,97.34513,11.504425,4.424779,4.424779,0.9,tier1,113g,,0.0,,,,,,,,,,en:dairies,,https://images.openfoodfacts.org/images/products/000/000/000/1252/front_en.3.200.jpg,,,,,,,,,,,en:United States,en:united-states,Dairy,en:dairies
1328,Harvest whole wheat bread,"Trader Joe's, E.Leclerc",https://images.openfoodfacts.org/images/products/000/000/000/1328/front_en.3.400.jpg,232.55813953488,11.627906976744,41.860465116279,4.6511627906977,0.86,tier1,,,1.0,,"en:e322,en:e322i",,,,,,,,en:chouquettes,,https://images.openfoodfacts.org/images/products/000/000/000/1328/front_en.3.200.jpg,Green Dot,en:green-dot,,,,,,,,,en:us,en:united-states,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Sweet snacks, Breads, Viennoiseries, White breads, Chouquettes","en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:sweet-snacks,en:sweet-pastries-and-pies,en:breads,en:viennoiseries,en:white-breads,en:chouquettes"
1449,Nutritional yeast flakes fortified gluten vegan free no ngo,Anthony's,https://images.openfoodfacts.org/images/products/000/000/000/1449/front_en.4.400.jpg,375.0,50.0,31.2,3.12,0.92,tier1,16 g,,0.0,,,,,,,,,,en:nutritional-yeast,,https://images.openfoodfacts.org/images/products/000/000/000/1449/front_en.4.200.jpg,"No gluten,Vegetarian,Vegan","en:no-gluten,en:vegetarian,en:vegan",,,,,,,,,United States,en:united-states,Nutritional yeast,"en:condiments,en:nutritional-yeast"
1526,San Francisco Style Sourdough Bread,Trader Joe's,https://images.openfoodfacts.org/images/products/000/000/000/1526/front_en.110.400.jpg,212.0,7.69,44.2,0.0,0.92,tier1,1 slice (52 g),,0.0,,,,,,,,,,en:sliced-breads,,https://images.openfoodfacts.org/images/products/000/000/000/1526/front_en.110.200.jpg,"Organic, EU Organic, FR-BIO-01","en:organic,en:eu-organic,en:fr-bio-01",,,,,,,,,United States,en:united-states,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:sliced-breads"
1551,Sopa de tomate gourmet,Herbalife Nutrition,https://images.openfoodfacts.org/images/products/000/000/000/1551/front_en.20.400.jpg,326.0,22.0,47.0,2.0,0.84,tier1,13.0g,,,,,,,,,,,,en:soups,,https://images.openfoodfacts.org/images/products/000/000/000/1551/front_en.20.200.jpg,,,,,,,,,,"https://supplements-online.ecwid.com/Shopping-Supplements-online-c121606037,https://supplements-online.ecwid.com/Shopping-online-in-the-World-c116781330,https://astephanie.goherbalife.com/Catalog/Home/Index/es-US,https://integratori-online.ecwid.com",Stati Uniti d'America,en:united-states,"Meals, Dried products, Soups","en:meals,en:dried-products,en:soups"
